no,song,song_kana_old,song_kana,author,author_kana
83,世の中よ　道こそなけれ　思ひ（い）入（い）る　山の奥（おく）にも　鹿（しか）ぞ鳴くなる,よのなかよ　みちこそなけれ　おもいいる　やまのおくにも　しかぞなくなる,よのなかよ　みちこそなけれ　おもひいる　やまのおくにも　しかぞなくなる,皇太后宮大夫俊成,こうたいごうぐうのだいぶしゅんぜい
84,ながらへ（え）ば　またこのごろや　しのばれむ（ん）憂（う）しと見し世（よ）ぞ　今は恋（こい）しき,ながらえば　またこのごろや　しのばれん　うしとみしよぞ　いまはこいしき,ながらへば　またこのごろや　しのばれむ　うしとみしよぞ　いまはこひしき,藤原清輔朝臣,ふじわらのきよすけあそん
85,夜もすがら　物思ふ（う）ころは　明けやらで　閨（ねや）のひまさへ（え）　つれなかりけり,よもすがら　ものおもうころは　あけやらで　ねやのひまさえ　つれなかりけり,よもすがら　ものおもふころは　あけやらで　ねやのひまさへ　つれなかりけり,俊恵法師,しゅんえほうし
86,なげけとて　月やは物を　思は（わ）する　かこち顔なる　わが涙（なみだ）かな,なげけとて　つきやはものを　おもわする　かこちがおなる　わがなみだかな,なげけとて　つきやはものを　おもはする　かこちがほなる　わがなみだかな,西行法師,さいぎょうほうし
87,村雨（むらさめ）の　露（つゆ）もまだひぬ　まきの葉に　霧（きり）たちのぼる　秋の夕ぐれ,むらさめの　つゆもまだひぬ　まきのはに　きりたちのぼる　あきのゆうぐれ,むらさめの　つゆもまだひぬ　まきのはに　きりたちのぼる　あきのゆふぐれ,寂蓮法師,じゃくれんほうし
88,難波江（なにわえ）の　蘆（あし）のかりねの　ひとよゆえ　みをつくしてや　恋（こ）ひ（い）わたるべき,なにわえの　あしのかりねの　ひとよゆえ　みをつくしてや　こいわたるべき,なにはえの　あしのかりねの　ひとよゆゑ　みをつくしてや　こひわたるべき,皇嘉門院別当,こうかもんいんのべつとう
89,玉の緒（お）よ　たえなばたえね　ながらへ（え）ば　忍（しの）ぶることの　弱りもぞする,たまのおよ　たえなばたえね　ながらえば　しのぶることの　よわりもぞする,たまのをよ　たえなばたえね　ながらへば　しのぶることの　よわりもぞする,式子内親王,しきしないしんのう
90,見せばやな　雄島（おじま）のあまの　袖（そで）だにも　ぬれにぞぬれし　色はかは（わ）らず,みせばやな　おじまのあまの　そでだにも　ぬれにぞぬれし　いろはかわらず,みせばやな　をじまのあまの　そでだにも　ぬれにぞぬれし　いろはかはらず,殷富門院大輔,いんぶもんいんのたいふ
91,きりぎりす　鳴くや霜夜（しもよ）の　さむしろに　衣（ころも）かたしき　ひとりかも寝（ね）む（ん）,きりぎりす　なくやしもよの　さむしろに　ころもかたしき　ひとりかもねん,きりぎりす　なくやしもよの　さむしろに　ころもかたしき　ひとりかもねむ,後京極摂政前太政大臣,ごきょうごくせっしょうさきのだじょうだいじん
92,わが袖（そで）は　潮干（しおひ）にみえぬ　沖（おき）の石の　人こそしらね　かわくまもなし,わがそでは　しおひにみえぬ　おきのいしの　ひとこそしらね　かわくまもなし,わがそでは　しほひにみえぬ　おきのいしの　ひとこそしらね　かわくまもなし,二条院讃岐,にじょういんのさぬき
93,世の中は　つねにもがもな　なぎさこ　ぐあまの小舟（おぶね）の　綱手（つなで）かなしも,よのなかは　つねにもがもな　なぎさこぐ　あまのおぶねの　つなでかなしも,よのなかは　つねにもがもな　なぎさこぐ　あまのをぶねの　つなでかなしも,鎌倉右大臣,かまくらのうだいじん
